Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-232.61,156.99,68.8,-26.39,159.81,251.54,291.66,39.6,-299.53,-373.86,-35.28,-2.16,-188.46,-62.85,-17.79,-11.15,61.03,-9.14,217.63,117.14,-105.61
-219.54,185.39,57.7,-21.36,186.64,249.0,310.26,55.09,-283.95,-379.14,-30.41,-17.46,-231.23,-76.95,-29.4,-28.06,19.54,-12.89,279.16,102.94,-114.69
-209.56,187.02,70.16,13.18,142.02,158.4,231.32,95.07,-266.8,-342.93,-15.03,14.23,-196.71,-51.46,-16.75,-8.79,-23.29,11.95,197.46,103.26,-91.92
-177.31,166.78,85.68,42.37,62.73,49.47,109.99,121.27,-222.13,-281.08,-0.12,69.16,-153.99,-7.97,12.7,28.42,-38.38,49.34,31.55,95.96,-43.63
-148.93,128.32,115.64,94.42,-41.68,-105.79,-37.79,133.19,-168.74,-206.3,47.77,129.16,-104.77,48.84,45.3,55.96,-32.22,90.53,-174.91,98.56,32.98
-131.73,80.32,137.84,129.31,-125.43,-193.38,-130.53,144.95,-129.78,-161.97,114.71,164.06,-75.13,85.73,64.46,72.63,-9.42,116.66,-349.22,110.8,85.17
-130.63,35.5,147.81,145.38,-176.83,-196.13,-148.55,150.99,-117.08,-152.6,148.22,179.84,-76.09,93.26,71.43,85.5,15.41,117.1,-408.38,128.44,88.12
-146.89,21.26,132.28,116.2,-155.97,-109.62,-75.85,136.22,-137.61,-183.27,114.64,167.64,-105.42,70.03,70.84,91.66,36.98,90.42,-315.73,130.57,52.33
-149.3,37.83,109.61,76.46,-84.11,-2.22,31.75,79.39,-175.38,-226.36,52.77,117.77,-135.96,37.27,51.34,57.61,53.16,59.0,-143.13,147.99,4.74
-157.17,75.07,65.42,16.55,16.61,137.17,169.39,26.49,-227.29,-278.28,-5.36,48.27,-183.4,-10.05,18.09,6.09,55.31,22.5,74.37,157.82,-27.96
-188.11,116.41,39.8,-22.36,98.06,227.03,262.2,29.46,-265.55,-317.43,-36.83,8.7,-207.76,-44.62,-1.61,-5.16,35.01,-3.67,231.09,117.26,-72.28
-202.2,155.28,43.68,-22.53,151.75,233.01,288.57,51.15,-280.39,-328.38,-43.36,3.28,-208.68,-56.76,-8.33,0.53,16.0,-5.31,229.35,100.33,-116.75
